Number,Conversation,Question,Choice1,Choice2,Choice3,Answer
12-130,"F: Will you please give this letter to Marry as soon as she comes? M: Certainly, I will.",What is the man going to do?,To see Mary.,To give a letter to Mary.,To post the letter.,To give a letter to Mary.
5-4,"M: The Golden Lion sounds like a nice place to eat. W: Ok, let's go there. I hear that they have a complete menu and a warm atmosphere.",Where are the man and woman going?,To a restaurant.,To a movie theatre.,To a play.,To a restaurant.
3-169,"M: Hello, Joan. Why are you late today? You are never late for work. W: No, I never am, but... M: Wow! Your coat's very dirty! Did you fall? W: Yes, I had a terrible experience on the underground train. Listen to this! A man came up to me and pulled out a knife. He pointed it right at me! M: Oh, no! Are you all right? Did he hurt you? W: No, he didn't hurt me, but he took my handbag. M: Then what happened? What did you do? W: I caught hold of his knife, and he pushed me to the floor. M: Oh, no! Why did you catch hold of his knife? That's dangerous. W: I don't know. I didn't think. M: And what did the other passengers do? Did they help you? W: Yes, they did. Two men ran after the robber and held him. M: Did the police come? W: Yeah. The conductor called a policeman, and he took the robber to the police station. M: What a story! Thank God you're all right.",Why was there dirt on the woman?,She had a fall.,She was pushed to the ground.,She took a crowded train.,She was pushed to the ground.
4-378,"M: Don't you like the coat you just tried on? W: Well, I like the color and fabric. M: And it is really nice and reasonably priced. W: Yes. I would have bought it right away if they had had it in my size.",Why doesn't the woman buy the coat?,It is expensive.,There isn't her size.,She doesn't like the color.,There isn't her size.
4-1487,"M: Catherine, you look great in these photos. W: Oh, thanks. I got into that wedding dress with great difficulty. It was too small. M: Why didn't you get one your size? W: Oh, it was my grandmother's - my mother wore it on her wedding day, and I really wanted to wear it on mine. I suffered for six months so I could wear it. M: How did you do it? W: Do you know this diet that many actors are doing? I don't think it's very healthy if you do it for a long time, but it really works. M: I think meat is not allowed in your diet. W: No, actually, you can eat things like, um, roast chicken, steak, and bacon, but you can't eat any bread and butter. M: Is it the diet that you love but have to avoid? W: That's right. Dieting is so boring. Hopefully, I won't need to wear the wedding dress again anyway.",Whose wedding dress do the speakers mention?,The woman's.,The woman's mother's.,The woman's grandmother's.,The woman's grandmother's.
7-1,"M: Let's have a short break. Which would you like to drink, coffee, juice or tea? W: A cup of tea please. How about you? M: Iced coffee as usual. It can keep my mind sharp.",What drink will the man take?,Coffee.,Juice.,Tea.,Coffee.
7-123,"M: Hello, Jane. This is Peter speaking. W: Hi, how are you? M: Fine. And I've got some great news for you. W: Really? What's it about? M: I remember you are interested in watching golf games. The Houston Open will be running from May 26 to May 30. I'm sure you will be glad to watch the game. W: Oh, that's great. But just a moment, let me check. Ah... It is a pity that I can't make it. I will be on business in China from May 25 to June 2. M: Well, I'm sorry you have to be away on business then. Let me see. Another game, the US Open will be running from July 15 to July 18. How about that? W: That's great. I will be on my holiday then. It would be wonderful if we could watch the game together.",Where does the conversation take place?,On the phone.,At Peter's home.,In a gym.,On the phone.
5-815,"M: Ace Employment Agency. Good morning. W: Good morning. I wonder if you can help me. I'm looking for a job. M: I'll see what we can do. Uh...Have you been to us before? W: No. But you've managed to get jobs for some of my friends. So I thought, perhaps, you know... M: Yes, I see. First of all, could you give me your full name? W: Yes. of course. Susan Hollies. M: Good. And could I have your phone number? W: Yes. 7788992. M: Fine. And your date of birth, please? W: Feb. 3rd, 1980. M: Thank you. Now education. Which school did you go to? W: I went to a secondary school in South Town. M: And have you been to college? W: No. I left full-time education when I was 18. M: I see. Any qualifications? W: Yes. I gained a shorthand and typing diploma at evening classes. M: That's good. Now, where are you working at the moment? W: Well, I've got a job as a shorthand-typist. But I'm not enjoying it very much and it doesn't pay very well. M: I see. Have you applied for any other jobs? W: Yes. I thought I'd like to be a policewoman. But they turned me down because I Was too short. M: what would you like to do now. then? W: Well, I think I'd like to work in a travel agency. M: I see. I think the best thing is for me to see what we might find for you. And then...",How did the woman get to know about the mall's company?,From the wanted cohunn.,From some of her friends.,From a telephone directory.,From some of her friends.
3-113,M: Can I help you? W: Yes. Are there any spare rooms here? M: Would you be interested in a three-bedroom flat? I have a few now. W: That might be more rooms than I need. I don't have much furniture.,What does the woman need?,More rooms.,More furniture.,A smaller flat.,A smaller flat.
4-1180,"W: It seems you've burned yourself out. M: Pardon. I'm afraid I didn't quite catch you. W: You look tired. You must have overworked yourself. M: Yes, a little bit. I've been hitting the books all these days. W: Why have you been studying so hard? M: I need to review my English. W: So that's what keeps you so busy recently! M: Yes, I've been tied up with my studies. Now, what worries me a lot is my English. W: But why? Your English is very good. M: Thank you. You are very kind. W: No, I'm telling the truth. As an American, I understand you quite well. M: It's very kind of you to say so.",What can we learn about the speakers?,They're friends,They're strangers.,They're relatives.,They're friends
15-21,M: Would you like to go to see the movies with me this evening? W: I'd love to. But I'm just getting over the flu.,What will the woman probably do this evening?,Go to see the movies.,Stay at home.,Do some sports.,Stay at home.
5-239,W: What a memory I have! I did write down the number on a sheet of paper when I answered the phone this morning. But now the paper has disappeared without any trace. M: Don't worry. I'll be seeing Mr. Brown in an hour.,What do we learn from this conversation?,It was probably Mr. Brown's phone number that the woman wrote down.,It was just an hour ago that the man met Mr. Brown.,The woman forgot to write down the phone number.,It was probably Mr. Brown's phone number that the woman wrote down.
